station;VARIABLE;YEAR;MONTH;DAY;HOUR;Value
station59;Temperature;2019;1;3;8;18.2783333333333
station313;Temperature;2019;1;3;8;14.89800005
station252;Temperature;2019;1;3;8;19.2926666166667
station206;Temperature;2019;1;3;8;17.98
station229;Temperature;2019;1;3;8;18.24716665
station322;Temperature;2019;1;3;8;19.5756666833333
station318;Temperature;2019;1;3;8;18.80283335
station105;Temperature;2019;1;3;8;-152.168333333333
station82;Temperature;2019;1;3;9;23.3683333333333
station254;Temperature;2019;1;3;9;22.4006666
station319;Temperature;2019;1;3;9;24.38399995
station271;Temperature;2019;1;3;9;23.8155000833333
station349;Temperature;2019;1;3;9;-999
station83;Temperature;2019;1;3;9;20.71
station68;Temperature;2019;1;3;9;22.6416666666667
station197;Temperature;2019;1;3;9;22.5988332833333
station59;Temperature;2019;1;3;9;20.635
station313;Temperature;2019;1;3;9;18.62699995
station252;Temperature;2019;1;3;9;20.9940000166667
station206;Temperature;2019;1;3;9;19.565
station229;Temperature;2019;1;3;9;19.6069998666667
station322;Temperature;2019;1;3;9;21.2560000666667
station318;Temperature;2019;1;3;9;20.8103333
station105;Temperature;2019;1;3;9;-82.7316666666667
station82;Temperature;2019;1;3;10;26.1833333333333
station254;Temperature;2019;1;3;10;25.7643333666667
station319;Temperature;2019;1;3;10;26.7524999166667
station271;Temperature;2019;1;3;10;26.2573332166667
station349;Temperature;2019;1;3;10;-999
station83;Temperature;2019;1;3;10;23.6133333333333
station68;Temperature;2019;1;3;10;25.52
station197;Temperature;2019;1;3;10;25.0551665166667
station59;Temperature;2019;1;3;10;22.395
station313;Temperature;2019;1;3;10;20.6135000666667
station252;Temperature;2019;1;3;10;23.6828334
station206;Temperature;2019;1;3;10;22.2533333333333
station229;Temperature;2019;1;3;10;22.44183335
station322;Temperature;2019;1;3;10;23.83900015
station318;Temperature;2019;1;3;10;23.3068332166667
station105;Temperature;2019;1;3;10;-131.62
station82;Temperature;2019;1;3;11;28.3066666666667
station254;Temperature;2019;1;3;11;28.0986667166667
